gene	t00_rep1	t05_rep1	t1_rep1	t2_rep1	t3_rep1	t4_rep1	t5_rep1_impute-linear	t6_rep1_impute-linear	t7_rep1	t8_rep1	t10_rep1	t12_rep1
ENSG00000187583.9	1.62744928864	1.53552432321	1.47812131395	1.46191726883	1.1831123786	1.39633650502	1.49909696082	1.60185741662	1.70461787243	1.50061763059	1.33729483664	1.54132237521
ENSG00000131584.17	1.76044790713	1.83893287299	1.97382877795	1.9269159084	1.79573972435	1.7725727052	1.83929105077	1.90600939634	1.97272774191	2.02132669628	2.05540412046	2.11973301171
ENSG00000221978.10	4.01334610717	4.00606901832	4.47391497041	4.42714364037	4.25354471901	4.19370299448	4.23161847445	4.26953395443	4.3074494344	4.32363007086	4.30432379176	4.49825281926
ENSG00000116237.14	4.75808030615	4.73886963293	4.6700267374	4.71130759258	4.60853690008	4.65061375002	4.60615068482	4.56168761961	4.51722455441	4.65158399739	4.48448358541	4.47881289526
ENSG00000158292.6	1.06125738088	0.926990142305	1.9667548204	1.81587004132	1.61802271149	1.12888663954	1.41078026581	1.69267389207	1.97456751834	1.98476029239	1.95153867145	2.01744363064
ENSG00000097021.18	2.82439502903	2.88971695622	2.98222648797	2.93708525696	2.99346653303	2.93949430764	3.03287683292	3.1262593582	3.21964188348	3.12620069059	3.32876800409	3.46078553607
ENSG00000116273.5	2.95341635055	3.02434093542	2.79631708578	2.86702909161	2.86546388079	3.02817099523	2.89989365182	2.77161630841	2.64333896501	2.76007415781	2.6138710094	2.53289588427
ENSG00000171735.17	1.98878470228	1.97858325259	1.59826192657	1.73251929995	1.78079970884	1.83746871996	1.7971055842	1.75674244844	1.71637931267	1.60900382667	1.65196036471	1.31446704231
ENSG00000116285.11	4.50886471636	5.32388518931	5.9730133472	5.97387126195	6.11942121741	6.03797246862	5.99934315171	5.9607138348	5.92208451789	5.77176660401	5.95683952302	5.82609104939
ENSG00000162426.13	1.11783909926	1.26385089122	2.08021543208	2.01872135932	1.9808588949	1.65305095733	1.93617444867	2.21929794002	2.50242143136	2.29649951789	2.33621682399	2.70204001127
ENSG00000049239.11	2.71349796819	3.03776990815	2.92598416345	2.85477637174	3.01420000815	2.76314550747	2.82359488627	2.88404426508	2.94449364388	2.99158771452	3.11576764881	2.97654984974
ENSG00000171621.12	3.17520941014	3.09313894568	3.52715904968	3.53823357069	3.57420124935	3.48345748087	3.46807455572	3.45269163057	3.43730870542	3.50933728285	3.54392836461	3.8027019569
ENSG00000171612.6	2.52787404178	2.7119889186	2.60544026038	2.49589139412	2.50498057448	2.69741644556	2.66864467609	2.63987290663	2.61110113716	2.5594401722	2.43244449793	2.13038982892
ENSG00000188807.11	2.39411410584	2.3231088663	2.10461842167	2.10069054716	2.3406524766	2.22908207147	2.13441052677	2.03973898207	1.94506743737	1.99396801017	1.95843126778	1.89815979471
ENSG00000173614.12	2.1259454239	2.34555514547	2.00074510519	1.89429312508	2.0757781233	1.82437178208	2.00039619291	2.17642060374	2.35244501457	2.45859537118	2.51364544663	2.46289939255
ENSG00000175279.20	2.49066915944	2.64248840522	2.32828670067	2.44108795248	2.41756885407	2.39369496593	2.25895557979	2.12421619365	1.98947680751	2.46590826381	2.13502422135	2.19632780234
ENSG00000116661.9	3.31950664504	2.90145354793	2.52201920269	2.79950491846	2.238924302	2.28529628461	2.41758704311	2.54987780161	2.68216856012	3.49889565092	2.68198057718	2.84501968779
ENSG00000011021.20	2.0881449084	1.93096240058	2.16608364043	2.04487609376	1.94461807125	2.01458297682	2.01849863505	2.02241429329	2.02632995152	2.32729500991	2.11298834594	2.29705982967
ENSG00000162496.7	4.56362656274	4.55680816426	3.94264704068	4.01261878601	3.81390791733	4.04074721962	4.14010539497	4.23946357031	4.33882174566	4.42115521027	4.34729106844	4.52591405374
ENSG00000116138.11	3.01838149983	3.25330456313	3.01953491303	2.97153698224	3.09652923834	2.97142201872	3.03360061409	3.09577920946	3.15795780484	3.19149400756	3.22055525141	3.19033034194
ENSG00000162458.11	3.13529515452	3.02999201784	2.82530130573	2.9688839586	2.72538385166	2.71445730664	2.80292101275	2.89138471886	2.97984842498	3.12184203785	3.03443165576	3.26967306798
ENSG00000142627.12	4.69206607707	4.46224725158	4.28274368431	4.40164397345	3.78459043443	3.96640093177	4.0995641576	4.23272738342	4.36589060925	4.50336792376	4.28148647509	4.44342665518
ENSG00000169991.9	4.18236782329	4.11802993616	2.85699691991	2.88993432135	2.71266616035	2.7588723962	2.83476526099	2.91065812579	2.98655099059	3.3124411193	3.05469724846	2.96819939133
ENSG00000053372.4	4.13240632264	4.12842683869	4.01753936208	4.08000729395	4.12225206912	4.19209915915	4.1216982052	4.05129725125	3.98089629731	3.81227825051	3.86140681192	3.87816651873
ENSG00000158747.12	1.8949829407	1.8411099649	2.3813437589	2.18575675661	2.39774569525	2.31254099055	2.37244711699	2.43235324344	2.49225936988	2.50561465958	2.59976524363	2.87520713394
ENSG00000158828.5	3.79917843277	3.65071444232	3.55903556664	3.68389925406	3.29514515115	3.45351506095	3.42361386192	3.39371266289	3.36381146386	3.71188997332	3.44124287871	3.7740736745
ENSG00000127483.16	4.64126864341	4.8336027914	4.93081698092	4.83802483711	4.94709523117	4.84712440556	4.82788779068	4.80865117579	4.78941456091	4.72020661544	4.79258808356	4.78006775934
ENSG00000076864.18	1.92874986171	2.00126453529	1.65192815766	2.00581548011	1.65614693159	1.88017074913	1.72036268144	1.56055461375	1.40074654607	1.51456798899	0.908442304149	0.63810377823
ENSG00000133216.15	3.00688339699	3.17502146661	2.80422900551	2.87439366483	2.94750624319	3.12195907258	2.93785424732	2.75374942205	2.56964459679	2.49867886201	2.33625444732	2.29125153474
ENSG00000007968.6	2.23274784326	2.06422668685	1.75411759872	2.10712182652	2.07197686588	2.09917765537	1.95370674189	1.80823582841	1.66276491493	1.5831428352	1.12393296984	1.0713905906
ENSG00000117318.8	6.15169676012	6.34398017137	6.18040736257	5.92434623565	6.08917645111	5.9802734396	6.09330933071	6.20634522182	6.31938111293	6.09975263527	6.4058689707	6.43184934047
ENSG00000188529.13	4.22222484431	4.32033710257	4.39110983044	4.36086949855	4.46769723787	4.28703418653	4.37036447197	4.45369475741	4.53702504286	4.46765078011	4.53851978424	4.46696538106
ENSG00000142677.3	1.18004790027	1.5005708486	2.20379653726	2.17100587445	2.30660301705	2.22673633977	2.16706644714	2.10739655451	2.04772666188	1.90736622303	2.03821055748	2.20229102224
ENSG00000001460.16	1.51125350364	1.42208005559	1.35480069207	1.33100338365	1.36710202245	1.36811351778	1.36577782316	1.36344212854	1.36110643392	1.47304317404	1.58089992892	1.50675064045
ENSG00000001461.15	2.31455403197	2.35999312282	2.23729259156	2.34008894925	2.16739573754	2.2652436901	2.28665032362	2.30805695713	2.32946359065	2.68166903193	2.42673294019	2.44684068493
ENSG00000117616.16	2.4917271029	2.64493557222	3.40189627201	3.5129876268	3.30527868325	3.14106092869	3.14036642704	3.1396719254	3.13897742375	3.16386131523	3.21043938413	3.2670783404
ENSG00000127423.9	2.72769800514	2.74729417124	2.78893914087	2.58054263944	2.90213949521	2.87405650134	2.83389526952	2.7937340377	2.75357280588	2.49100673534	2.5520803989	2.36323343435
ENSG00000182749.5	1.85833794078	2.00781785997	1.95965564845	2.10601338699	2.08529035736	1.98274448274	2.13468061904	2.28661675534	2.43855289164	2.65935370104	2.79240526254	2.87678754192
ENSG00000158006.12	3.09261806995	2.93631644984	2.9374576547	2.9288144083	2.74023373047	2.862728981	2.94569042833	3.02865187566	3.11161332299	3.20291529314	3.18766087623	3.35590362324
ENSG00000142684.7	2.3417277669	2.22185880434	1.80371109496	1.90847750433	1.65073764852	1.97830521067	2.08243125328	2.18655729588	2.29068333849	1.91293155873	2.11852674805	2.17119824767
ENSG00000142669.12	4.62762470169	4.48543806858	4.49366528068	4.33827530082	4.27166362447	4.4977394002	4.44498235513	4.39222531006	4.339468265	4.59623032994	4.3382896157	4.53536180972
ENSG00000204160.10	2.85641422174	2.92851366128	3.29904132877	3.18387469557	3.30386208186	3.22297571388	3.19758198376	3.17218825363	3.1467945235	3.10892141237	3.21323009812	3.14436302849
ENSG00000090020.9	2.53767899774	2.57089939327	2.88874056457	2.74213767312	2.88617822006	2.8482682527	2.82758093166	2.80689361061	2.78620628956	2.79159041468	2.72750998676	2.63566249657
ENSG00000142784.14	2.08546019097	2.14563701839	1.95732340351	2.02697840436	1.90109532055	2.08318376307	2.08886152593	2.09453928878	2.10021705164	2.20631769466	2.13285440736	2.25278761927
