gene	t00_rep4	t05_rep4	t1_rep4	t2_rep4	t3_rep4	t4_rep4	t5_rep4	t6_rep4	t7_rep4	t8_rep4	t10_rep4	t12_rep4
ENSG00000187583.9	1.26075149224	1.34695491055	1.49341445233	1.29794401764	0.889431572989	1.30382592892	1.10847392006	1.10353702748	1.4272410027	1.5145156061	1.03744824234	1.20525829245
ENSG00000131584.17	1.69969485161	1.61182450598	1.66254682181	1.7213543541	1.6931725119	1.61385412502	1.68342383883	1.84936450159	1.86067285677	1.86509374011	1.69773607727	1.78740047419
ENSG00000221978.10	4.13214741647	4.1323325181	4.1121940941	4.2557217987	4.21737151023	4.1413792353	4.19146347884	4.36846358683	4.22132883034	4.14911625866	4.15505801154	4.21145992841
ENSG00000116237.14	4.67335863467	4.73079695391	4.7598246965	4.66949308649	4.62773462833	4.66366773833	4.69580382657	4.57860388116	4.58651056194	4.68997448871	4.60742929137	4.53828216523
ENSG00000158292.6	0.975670627669	1.15742748351	0.723526799291	1.25765801336	1.52989371472	1.86294247168	1.80962340754	1.93771342126	1.4246319338	1.20820454559	1.85143577457	1.73767391651
ENSG00000097021.18	2.68413214605	2.70347963332	2.61395538966	2.74126144498	2.68059213903	2.82044417823	2.86065125717	2.89940854594	2.86708992045	2.71488364098	3.11819177262	2.94125229352
ENSG00000116273.5	2.96374234906	3.11166358724	2.7858642653	2.85927782046	2.95102528859	2.92335682308	2.98320067996	2.84938484313	2.7615350802	2.83420604627	2.73898997948	2.55046774778
ENSG00000171735.17	2.0518537641	2.06861081078	1.96433890507	1.89489810428	1.93183560192	1.95653079278	1.90281171581	1.78323134926	1.89282176373	1.80646926695	1.85958823882	1.82016513143
ENSG00000116285.11	5.20842966168	5.04601059353	5.98506972743	6.19979044025	6.18959334052	6.19065865427	6.11819500004	6.06846505854	6.05461307503	5.84972213244	6.25137377334	6.17332452146
ENSG00000162426.13	0.967379866557	1.13980287963	0.989542659344	1.72432823025	1.82680534377	1.66398633003	1.7280745493	1.99399114093	2.06578255118	1.8941729096	1.8993160353	2.08988516903
ENSG00000049239.11	2.73460998127	2.75979935192	2.82002230639	2.73481481835	2.77727282981	2.85819241627	2.86248938276	2.93537112534	2.84002342493	2.71731613615	2.98227218196	2.94055675179
ENSG00000171621.12	2.97096212972	2.94041397557	3.18290826635	3.34885055328	3.41014900852	3.4789974017	3.47491818453	3.47574088843	3.33178792746	3.42161219196	3.40244058794	3.44676582307
ENSG00000171612.6	2.71157373064	2.98830747813	2.72755243265	2.74582448752	2.86447008011	2.84951692045	2.81477812184	2.87687162276	2.68202328982	2.6823635478	2.68110843576	2.73756183523
ENSG00000188807.11	2.35279892121	2.33835630955	2.26018642287	2.30978827411	2.31088118358	2.24704322102	2.16283939436	2.24769623757	2.27762015792	2.22865886213	2.12624832717	1.93181553311
ENSG00000173614.12	2.13555282977	2.15157442125	2.03062271104	1.84668435991	1.83586653058	1.92996993666	1.86531105382	1.97569344883	2.47464138708	2.37159275143	2.46446629727	2.52971047307
ENSG00000175279.20	2.49191009825	2.56081477613	2.40858337196	2.43981732479	2.4995599856	2.18175700119	2.24472458834	2.22079252349	2.12494435984	2.3313438274	2.13072671356	2.085651399
ENSG00000116661.9	2.34086140943	2.39325950441	2.27266379616	2.03066380175	2.02698799494	1.93115889462	1.94924687514	2.18596004264	2.49920079419	2.25301580559	1.94194164604	2.63034284173
ENSG00000011021.20	1.98201436604	2.06696547962	1.96336282468	1.94128485156	2.00849567776	1.89432215407	2.06322924977	2.10282716571	2.09326620876	1.84183765025	2.05581419029	2.26080760738
ENSG00000162496.7	4.13086112977	4.11038318041	3.96640393778	3.71954138676	3.70727648861	3.69740111825	3.60479153327	3.81691564265	4.21980284666	4.18776669683	4.0928269573	4.20457803666
ENSG00000116138.11	3.24380132866	3.24770451787	3.10755058039	3.05943718372	3.14853782757	3.11932377952	3.23918249038	3.33571861013	3.31683724704	3.32104950697	3.5364131551	3.4916293012
ENSG00000162458.11	2.92962155329	2.97504177345	2.84745311544	2.82634576892	2.69372321749	2.70941448074	2.76076250344	2.79925118529	3.19142020686	3.1805732414	3.08586729344	3.18145912994
ENSG00000142627.12	4.39275946887	4.39087531414	4.08057835305	3.73336266701	3.91108229319	4.07939623518	4.2650483345	4.17739785603	4.39899660758	4.38552706438	4.07648561506	4.20439895027
ENSG00000169991.9	4.17024711691	4.30545099292	3.78538360535	3.04889350614	2.8179381833	2.77816189479	3.00856199527	3.00778300842	3.44692400926	3.732490841	3.40513869531	3.35816193279
ENSG00000053372.4	4.12762665463	4.09185850103	4.22862623293	4.16012075153	4.12194009327	4.15594324334	4.2042563841	3.99339899406	3.94254385443	3.98303209227	4.09463069608	3.88906692266
ENSG00000158747.12	1.83466087019	1.99498897789	1.85875135774	1.9707744202	2.20032299849	2.41955722811	2.43991811483	2.51573339766	2.15492723758	2.13433620645	2.67208940578	2.53955724651
ENSG00000158828.5	3.23412499443	3.22342698358	3.28243049098	3.21466106958	3.11298835611	3.04622337809	2.97392151914	3.20233672048	3.27242757528	3.11063628834	3.05648263706	3.2464111163
ENSG00000127483.16	4.88656131556	4.9592951432	4.95856291901	4.93846454794	5.01455601151	4.98709978714	5.12609974124	4.95094064037	4.92985129332	5.01183606569	5.05169627145	4.92724051092
ENSG00000076864.18	1.38388078016	1.5235396682	1.80310064067	1.763871608	1.67128255647	1.69312560177	1.26971114883	1.13744555422	1.57895352832	1.25382560915	0.736652986831	0.670098424298
ENSG00000133216.15	2.88259101248	2.9117500162	3.0571955777	3.07411760025	2.86243189273	2.80528066253	2.69427152195	2.46971865072	2.65191691958	2.70477815639	2.43634454761	2.19422727118
ENSG00000007968.6	2.02561419281	2.00868936051	2.2026075463	2.08385376905	2.00806044916	1.93278761782	1.88924118363	1.85448530469	1.85517028975	1.77863897808	1.37267870406	1.09699528895
ENSG00000117318.8	6.2182533235	6.22807533545	5.88959042968	5.88065102492	6.01370445401	6.06552741675	6.26109548534	6.35383125909	6.28333322724	6.27449312635	6.36313728877	6.29100701692
ENSG00000188529.13	4.54071803533	4.59174573725	4.4437537589	4.49438652628	4.5619598443	4.60235437836	4.67298880235	4.65208488498	4.78429456844	4.76639354197	4.82447614518	4.75366727808
ENSG00000142677.3	1.24269897099	1.33793197212	1.4968442359	1.98905568703	2.05379649344	2.01966883544	1.98210709027	1.73396040066	1.38441082802	1.60580937236	1.54924390281	1.56881343241
ENSG00000001460.16	1.52855917154	1.43594552647	1.50460731397	1.41741622305	1.34913215779	1.24570828662	1.40423155936	1.25655647297	1.56590701921	1.57612025706	1.53853670268	1.68671039747
ENSG00000001461.15	2.23423031734	2.28995347257	2.20952343049	2.10210456165	2.11791427021	2.22981009278	2.11713098755	2.10401888284	2.41139915399	2.41914913439	2.40288511392	2.56011117977
ENSG00000117616.16	2.59098114948	2.52138921163	2.85901238092	3.05833349821	3.09365937671	3.05901100496	2.78143769029	3.2005058479	2.89067967758	2.75462406943	2.5680786629	2.89708417532
ENSG00000127423.9	2.751881795	2.68423997954	2.79789356337	2.93781132696	3.03085210358	2.89315987708	2.82153403528	2.88200808607	2.76104489781	2.77237983739	2.69323589494	2.6083610532
ENSG00000182749.5	1.96299507281	2.03063027213	1.6801094918	1.93431975651	2.07284399818	2.16055492876	2.40679233395	2.24786799684	2.43390738754	2.39389017347	2.98705597231	2.8455485432
ENSG00000158006.12	3.00699469455	3.05309067644	2.84100794627	2.65955900498	2.72613773237	2.92627479491	2.81155521006	2.85685807465	3.07903820801	3.05581223762	3.22230275865	3.22172324496
ENSG00000142684.7	1.79945568773	1.50860176136	1.6566948595	1.63412783332	1.51816940929	1.58228904894	1.52234222525	1.85470408452	1.84511092948	1.66953075522	1.72691588054	1.73220145637
ENSG00000142669.12	4.31955528015	4.34949925294	4.31668546702	4.26862288386	4.16073180443	4.30190879779	4.20616444548	4.2200591572	4.24734934655	4.15322965582	4.21189927731	4.27045758714
ENSG00000204160.10	2.92451915511	3.01361784355	3.02066197409	3.20945925331	3.21212870275	3.25562840801	3.35570764509	3.13752543005	2.91687564634	2.92348508131	3.17643153976	3.08161614219
ENSG00000090020.9	2.46817440857	2.46086046167	2.56500982111	2.74075094826	2.70726814175	2.78513153878	2.90826961782	2.88034464232	2.56665298435	2.53852428641	2.60217738182	2.60355489186
ENSG00000142784.14	1.88653456024	2.0012567888	1.76585619868	1.85743837357	1.76532818621	1.79346263495	1.84044040824	1.89404816992	2.07108743601	1.95378060637	2.05882619318	1.99543280257
ENSG00000142733.13	2.13938775092	2.16352364702	2.25062467395	2.68262171102	2.77318207135	2.82083707667	2.78933997877	2.98500648087	2.53424570829	2.48082807882	2.77450466467	2.76736308744
ENSG00000126705.12	2.02546706063	2.05474274281	2.03657944557	2.25804897125	2.55323819963	2.51736199219	2.3648560847	2.25671944493	2.12283511066	2.15785589956	2.25469446428	2.15797914439
ENSG00000009780.14	2.51106691817	2.54687797475	2.55639444596	2.50768197187	2.70635318292	2.6471497946	2.72464884669	2.61793221536	2.57782459472	2.49887804593	2.70333213367	2.63622059175
ENSG00000117758.12	3.47798883356	3.48044293938	3.44689050224	3.37656783938	3.42869494473	3.53620947549	3.49676678039	3.53534541671	3.62822581478	3.64122975116	3.71042952719	3.86817723102
ENSG00000117748.8	4.23627467484	4.26473930921	4.25823941797	4.15025953448	4.1462970345	4.19451683874	4.19918249923	4.00961485363	3.87933220115	4.09350305815	4.10911960516	3.87847046687
ENSG00000180198.14	3.54684450474	3.58552085583	3.6276815081	3.59866586696	3.56483598006	3.49985523895	3.49098988097	3.48945504034	3.38756250251	3.54067619991	3.46212050309	3.29169586534
ENSG00000120656.10	2.81388700453	2.8217623701	2.76737479396	2.68569722608	2.6379486727	2.68300901372	2.67044435537	2.58845849962	2.75135480732	2.81128785665	2.89045453066	2.78112933881
ENSG00000060656.18	1.61874659963	1.63528234849	1.81989262629	1.69120867202	1.92556282519	1.93315350499	1.95970340593	1.93000606075	1.93028267218	1.88455467671	1.86848086141	1.91327232109
ENSG00000121753.11	1.74879964372	1.61488222939	1.54943519446	1.65179052044	1.56304063827	1.39943778521	1.40636993164	1.46353504631	1.54037567728	1.59397748404	1.09478957898	1.08507996558
ENSG00000175130.6	4.05156479443	4.04651843753	4.07409830294	4.13034670082	3.91228476844	3.93435558497	3.85646764273	3.63833954446	3.7023298929	3.81420195199	3.58167245748	3.45075402555
ENSG00000160058.17	2.90635035476	2.87935275249	2.86837951903	2.93486039005	2.78849264665	2.82877136976	2.66863516384	2.84736119265	3.07089437831	2.93668542154	2.78864544496	2.97822793133
ENSG00000162520.13	3.87001964357	3.8411292352	3.7359288597	3.59468513915	3.78878448117	3.94218041467	4.09933349378	4.14403579155	4.10708990469	4.2396330827	4.26466483338	4.39657036486
ENSG00000121900.17	4.11847188669	4.16294916807	4.01395979421	4.15677511861	3.9291487827	3.9714352888	3.85252078786	3.92078864142	4.15339486529	3.94689008317	3.74789634187	3.74625361427
ENSG00000116514.15	3.07605150551	3.07950969539	3.08703239488	3.12249766907	2.86007181941	2.95073940894	2.60681780068	2.81839033136	2.88999073493	2.90071232096	2.71788336688	2.56226526231
