gene	t00_rep2plusextra	t05_rep2	t1_rep2	t2_rep2	t3_rep2	t4_rep2	t5_rep2	t6_rep2	t7_rep2	t8_rep2	t10_rep2	t12_rep2
ENSG00000187583.9	1.41473814406	1.4432378591	1.51870450825	1.45947192447	1.28321995731	1.29842865377	1.0725344128	1.44983508603	1.2421364268	1.60455559246	1.45269965746	1.47744634155
ENSG00000131584.17	1.79689901366	1.76487948063	1.80997242768	1.93895769892	1.91163414268	1.92731302994	1.81320747762	1.89394644469	1.82450893305	2.0760636239	2.11778501844	1.92364814252
ENSG00000221978.10	4.17534522403	4.15377260513	4.29298159664	4.32182581377	4.33328405524	4.37207965709	4.35431049818	4.34272867563	4.26563732358	4.35127824298	4.54656905801	4.39693975309
ENSG00000116237.14	4.77099506357	4.6986328666	4.78568818079	4.68219161407	4.70619679931	4.70402491771	4.69870623826	4.67019876243	4.65680666944	4.62473724881	4.4869220887	4.47258482477
ENSG00000158292.6	0.954994190701	1.13773572005	1.06646718	1.4428780723	1.8382414	2.08515083254	2.02047620904	2.17688221309	2.21806469915	2.11661268943	2.36758677093	1.96847640006
ENSG00000097021.18	2.81608239794	2.7370243465	2.70035107852	3.08627599494	3.0483970297	2.91093416097	3.0170045983	3.04927746466	3.2343923661	3.42090992062	3.48055349199	3.33334259709
ENSG00000116273.5	3.03387149903	2.91862653073	2.77366487806	2.92417163746	2.91484755403	2.92087444774	2.83167517715	2.80524621437	2.6434988604	2.83963100595	2.72834923683	2.68876083327
ENSG00000171735.17	1.92771157043	1.93133799306	1.78903293822	1.78465323715	1.69389320456	1.54726029015	1.73023394188	1.70890850376	1.63297331901	1.68688242538	1.59359918951	1.5527140218
ENSG00000116285.11	4.75667548976	5.47310519801	5.78631718028	6.02948420096	6.00981467929	5.97791901399	6.11876986081	6.020602922	5.95302293719	5.79344520154	5.89252425189	5.96401931026
ENSG00000162426.13	1.09871277498	1.2116404105	1.50906384536	2.08228815205	2.25233462109	2.21332220014	2.35714983208	2.3382349339	2.44834743169	2.57929014183	2.83217760814	2.52303104007
ENSG00000049239.11	2.86716679851	2.94278597201	2.9437989712	2.99164011301	2.99645796534	2.92711760783	3.03418765588	2.98454545174	2.98653648194	3.09648255611	3.06838961754	2.96747275962
ENSG00000171621.12	3.13236728925	3.03821177523	3.3968824725	3.55643738165	3.62056049313	3.46730947147	3.55449364325	3.56952537145	3.51821858855	3.60707021826	3.78192106138	3.67024559002
ENSG00000171612.6	2.72720333753	2.73600040604	2.69114839305	2.53981018225	2.62826535193	2.68462273553	2.6128487466	2.68263636516	2.61023725004	2.21226314042	2.23840367952	2.42392603679
ENSG00000188807.11	2.25435902125	2.27603658897	2.19203439127	2.02457212533	2.21711246285	2.23360011803	2.20035728147	2.07843812975	2.08709007252	1.99462919434	1.98037045068	1.88615579166
ENSG00000173614.12	2.36051751403	2.27901125921	2.17652013673	1.95933772569	2.00822197824	2.01395939687	2.11691903229	2.11756065355	2.36840989833	2.35657102625	2.52918119532	2.32618077281
ENSG00000175279.20	2.45825983691	2.53883956349	2.42258785085	2.58892678348	2.50247072827	2.31181694428	2.10111965702	2.07295207115	2.14054081756	2.42590243208	2.07266033315	2.24022057603
ENSG00000116661.9	3.04569826158	2.82821057547	3.17604903161	2.80308063315	2.80014726484	2.85449454227	2.34650008675	2.73919324979	2.86254401766	2.89302842716	3.03968728723	2.80127765155
ENSG00000011021.20	2.17998198027	2.02062496692	2.22009211768	2.20040017687	2.20453429053	2.1673379431	2.17716973056	2.22041246449	2.03281244567	2.29762816183	2.25085885736	2.33064393225
ENSG00000162496.7	4.37740368657	4.45765966158	4.18875673515	4.0776077427	3.99082152149	3.95973114883	3.87049741488	3.98585413981	4.31984858104	4.56095632487	4.41672671996	4.39310641325
ENSG00000116138.11	3.13032644189	3.16552644799	3.00310062697	2.97057930409	3.0545319974	3.11607406022	3.21455820297	3.21372844313	3.27014806218	3.16296778334	3.20828359189	3.29372756848
ENSG00000162458.11	3.11042713643	3.02562961696	2.76812179783	2.68774978858	2.87169408786	2.73678666371	2.71976629497	2.75342731651	3.07600594826	3.24291263603	3.20256813953	3.17437856587
ENSG00000142627.12	4.62939368378	4.45741096153	4.19272606961	3.80376176433	4.2151966275	4.24397283243	4.36436400385	4.34350339459	4.444489818	4.5570280706	4.51329722072	4.47060961873
ENSG00000169991.9	4.1147857096	3.91343654606	3.65241071514	2.66202921615	2.60225559685	2.5732985764	2.69087468892	2.82726127418	2.98706465819	2.93511446576	2.80777016361	3.04545139894
ENSG00000053372.4	4.04454518613	4.04177928719	4.19144985723	4.06114660481	4.10722783385	4.03758007082	4.02360272789	3.99389267818	3.93527885721	3.91019505874	3.83755694486	3.86505668253
ENSG00000158747.12	1.75997911431	1.73286411437	1.92384795637	2.20676282005	2.42584662417	2.35080430679	2.57278717275	2.50522377053	2.73775462715	2.60592771227	2.82694434989	2.95160378448
ENSG00000158828.5	3.64678266842	3.49367029002	3.64077347861	3.73574690389	3.69210735409	3.62059764262	3.37491844341	3.36566497154	3.48930005023	3.6603261579	3.64239973753	3.56590872355
ENSG00000127483.16	4.76369840744	4.81999921509	4.91007358619	4.82595114346	4.8672353207	4.87455276515	4.94532449337	4.89094483752	4.81904882341	4.73473011022	4.80621026119	4.85514099978
ENSG00000076864.18	2.12101423175	1.94275743026	1.97739634378	2.24015498218	2.17741396859	1.89898083219	1.65491068588	1.5021317499	1.35423041635	1.4309692924	0.808658973247	0.666067589577
ENSG00000133216.15	3.06967182848	3.01409664206	3.08756361036	3.04709311066	2.96263543289	2.79615687222	2.67002305281	2.62980528542	2.4164361594	2.49439813324	2.30073901566	2.24426355981
ENSG00000007968.6	2.19161930762	2.24508088243	2.11831428576	1.95774573345	2.09619659051	2.08516963789	2.00054005855	1.88726740648	1.56391241335	1.76994384787	1.19269629065	1.24905552857
ENSG00000117318.8	6.16015912904	6.20747299774	5.97132517018	5.99262258353	5.95216273512	6.05728560377	6.14888846319	6.18356434132	6.3110570385	6.12644730087	6.40293523431	6.40210583533
ENSG00000188529.13	4.29702574058	4.33478331762	4.32911222745	4.27796853394	4.35480592808	4.48605969748	4.59615943082	4.55104627028	4.59081327076	4.37778988031	4.52226465442	4.57569768547
ENSG00000142677.3	1.37478042959	1.37518113724	1.76301880944	2.42480002963	2.5442424736	2.30805962811	2.00441641583	2.01950753663	2.00802060887	2.16382540019	2.20612920473	2.04053996111
ENSG00000001460.16	1.36694138921	1.41677235018	1.41950492586	1.31631321047	1.33487505291	1.41515656688	1.2813889832	1.34514746799	1.47133924672	1.38173515363	1.49545712344	1.65438761162
ENSG00000001461.15	2.30617883963	2.34443153308	2.25618321473	2.28189231353	2.22058343235	2.38245942702	2.30288669628	2.27321915239	2.45002665039	2.47888478674	2.63826628548	2.53649189903
ENSG00000117616.16	2.83611186543	2.86384391039	3.02690656556	3.2547957833	3.43854982455	3.49389566047	3.34058572431	3.401083811	3.18050440984	3.27961096561	3.40734460295	3.25580498341
ENSG00000127423.9	2.60747131244	2.60625889585	2.74229169342	2.87655192256	2.86544597135	2.79272053571	2.8781376844	2.6955811299	2.72349212482	2.69563695164	2.47949282849	2.47239222346
ENSG00000182749.5	1.84944692681	1.97310884566	1.62625832781	2.08624480526	2.09036649657	2.21579708902	2.50597223416	2.45618246423	2.69273779618	2.57626856854	2.9288612945	2.84450523443
ENSG00000158006.12	3.01226364548	3.05923411644	2.87363878979	2.96196941815	2.86927910106	2.98981175078	2.99398732004	3.02949031922	3.30369799458	3.16696633511	3.21395795167	3.33202646583
